free_months,accept_rate,top_frac,k,TP,FP,precision_at_k,base_churn_rate_test,lift,ARPU_NTD,expected_gain_NTD,expected_cost_NTD,expected_net_NTD
1,0.7,0.2,1792677,273501,1519176,0.15256568807431567,0.04739347913762491,3.2191282609002694,144.2380587122267,303759250.3780658,219122997.08220568,84636253.29586014
2,0.3,0.01,89633,1229,88404,0.013711467874555131,0.04739347913762491,0.28931127496967873,144.2380587122267,531805.7224719798,25502442.684791375,-24970636.962319396
2,0.3,0.03,268901,4491,264410,0.016701313866441553,0.04739347913762491,0.35239687337456205,144.2380587122267,1943319.3650298303,76275970.20819972,-74332650.8431699
2,0.3,0.05,448169,31015,417154,0.06920380481470159,0.04739347913762491,1.4601967628023709,144.2380587122267,13420630.172879132,120338966.28808042,-106918336.1152013
2,0.3,0.1,896338,81990,814348,0.09147219017825865,0.04739347913762491,1.9300585616986363,144.2380587122267,35478235.3014464,234919949.27236876,-199441713.97092235
2,0.3,0.2,1792677,273501,1519176,0.15256568807431567,0.04739347913762491,3.2191282609002694,144.2380587122267,118347759.88755813,438245994.16441137,-319898234.2768532
2,0.5,0.01,89633,1229,88404,0.013711467874555131,0.04739347913762491,0.28931127496967873,144.2380587122267,886342.870786633,25502442.684791375,-24616099.81400474
2,0.5,0.03,268901,4491,264410,0.016701313866441553,0.04739347913762491,0.35239687337456205,144.2380587122267,3238865.60838305,76275970.20819972,-73037104.59981668
2,0.5,0.05,448169,31015,417154,0.06920380481470159,0.04739347913762491,1.4601967628023709,144.2380587122267,22367716.954798553,120338966.28808042,-97971249.33328187
2,0.5,0.1,896338,81990,814348,0.09147219017825865,0.04739347913762491,1.9300585616986363,144.2380587122267,59130392.16907733,234919949.27236876,-175789557.10329142
2,0.5,0.2,1792677,273501,1519176,0.15256568807431567,0.04739347913762491,3.2191282609002694,144.2380587122267,197246266.47926354,438245994.16441137,-240999727.68514782
2,0.7,0.01,89633,1229,88404,0.013711467874555131,0.04739347913762491,0.28931127496967873,144.2380587122267,1240880.0191012863,25502442.684791375,-24261562.665690087
2,0.7,0.03,268901,4491,264410,0.016701313866441553,0.04739347913762491,0.35239687337456205,144.2380587122267,4534411.851736271,76275970.20819972,-71741558.35646345
2,0.7,0.05,448169,31015,417154,0.06920380481470159,0.04739347913762491,1.4601967628023709,144.2380587122267,31314803.736717977,120338966.28808042,-89024162.55136245
2,0.7,0.1,896338,81990,814348,0.09147219017825865,0.04739347913762491,1.9300585616986363,144.2380587122267,82782549.03670825,234919949.27236876,-152137400.2356605
2,0.7,0.2,1792677,273501,1519176,0.15256568807431567,0.04739347913762491,3.2191282609002694,144.2380587122267,276144773.0709689,438245994.16441137,-162101221.09344244
3,0.3,0.01,89633,1229,88404,0.013711467874555131,0.04739347913762491,0.28931127496967873,144.2380587122267,478625.15022478177,38253664.027187064,-37775038.87696228
3,0.3,0.03,268901,4491,264410,0.016701313866441553,0.04739347913762491,0.35239687337456205,144.2380587122267,1748987.428526847,114413955.31229958,-112664967.88377273
3,0.3,0.05,448169,31015,417154,0.06920380481470159,0.04739347913762491,1.4601967628023709,144.2380587122267,12078567.15559122,180508449.43212065,-168429882.27652943
3,0.3,0.1,896338,81990,814348,0.09147219017825865,0.04739347913762491,1.9300585616986363,144.2380587122267,31930411.771301758,352379923.9085531,-320449512.1372514
3,0.3,0.2,1792677,273501,1519176,0.15256568807431567,0.04739347913762491,3.2191282609002694,144.2380587122267,106512983.89880233,657368991.2466171,-550856007.3478148
