top_frac,k,TP,FP,ARPU_used,expected_gain,expected_cost,expected_net,tp_rate_in_selected
0.01,29877,414,29463,162.26473424479823,302299.19989805913,14342417.595163472,-14040118.395265413,0.013856812933025405
0.03,89633,1872,87761,162.26473424479823,1366918.1212781803,42721546.02617321,-41354627.90489503,0.020885165061974943
0.05,149389,12444,136945,162.26473424479823,9086500.588240212,66664032.093461685,-57577531.50522147,0.083299305839118
0.1,298779,47362,251417,162.26473424479823,34583320.5448596,122388338.06887332,-87805017.52401371,0.158518503643161
0.2,597559,104878,492681,162.26473424479823,76581003.59156677,239834254.5973843,-163253251.00581753,0.17551070270885386
